gemeente,wikidata id,inwoneraantal_cbs_2016
Aa en Hunze,Q300665,25241
Aalburg,Q9808,13033
Aalsmeer,Q9897,31307
Aalten,Q275909,26909
Achtkarspelen,Q341024,28010
Alblasserdam,Q736131,19950
Albrandswaard,Q934525,25007
Alkmaar,Q972,107623
Almelo,Q988,72438
Almere,Q83178,198315
Alphen aan den Rijn,Q213246,107963
Alphen-Chaam,Q9809,9918
Ameland,Q208259,3610
Amersfoort,Q992,153615
Amstelveen,Q9898,88659
Amsterdam,Q9899,834119
Apeldoorn,Q101918,159041
Appingedam,Q995,12007
Arnhem,Q1310,153864
Assen,Q798,67073
Asten,Q9810,16584
Baarle-Nassau,Q9811,6612
Baarn,Q10027,24528
Barendrecht,Q204239,47844
Barneveld,Q164098,55437
Bedum,Q461142,10440
Beek (L.),Q9806,16065
Beemster,Q9900,8958
Beesel,Q9805,13387
Bellingwedde,Q747965,8969
Berg en Dal,Q18088965,34579
Bergeijk,Q9812,18256
Bergen (L.),Q9804,13088
Bergen (NH.),Q9901,29947
Bergen op Zoom,Q9814,66206
Berkelland,Q47104,44443
Bernheze,Q9815,29888
Best,Q9816,28988
Beuningen,Q851244,25285
Beverwijk,Q9905,40309
het Bildt,Q850722,10519
De Bilt,Q10035,42378
Binnenmaas,Q863961,28759
Bladel,Q9817,19971
Blaricum,Q9906,9616
Bloemendaal,Q9908,22292
Bodegraven-Reeuwijk,Q889423,33451
Boekel,Q9818,10253
Ten Boer,Q849566,7356
Borger-Odoorn,Q835118,25369
Borne,Q9997,22345
Borsele,Q10071,22613
Boxmeer,Q9819,28467
Boxtel,Q9821,30393
Breda,Q9822,182148
Brielle,Q462663,16641
Bronckhorst,Q747999,36499
Brummen,Q843895,20941
Brunssum,Q9803,28450
Bunnik,Q10032,14767
Bunschoten,Q10034,20827
Buren,Q73061,26208
Capelle aan den IJssel,Q734860,66514
Castricum,Q9910,34599
Coevorden,Q60453,35389
Cranendonck,Q9823,20662
Cromstrijen,Q290475,12772
Cuijk,Q9827,24603
Culemborg,Q816699,27647
Dalfsen,Q9998,27913
Dantumadiel,Q389213,19012
Delft,Q690,101075
Delfzijl,Q322986,25056
Deurne,Q9828,31871
Deventer,Q10001,98881
Diemen,Q9913,26891
Dinkelland,Q9999,26112
Doesburg,Q165736,11336
Doetinchem,Q145845,56832
Dongen,Q9829,25425
Dongeradeel,Q851299,23927
Dordrecht,Q26421,118767
Drechterland,Q9915,19404
Drimmelen,Q9830,26835
Dronten,Q328087,40616
Druten,Q932142,18407
Duiven,Q613989,25437
Echt-Susteren,Q9802,31937
Edam-Volendam,Q9917,35460
Ede,Q26555,112430
Eemnes,Q10037,8877
Eemsmond,Q255972,15808
Eersel,Q9831,18553
Eijsden-Margraten,Q9766,25128
Eindhoven,Q9832,224794
Elburg,Q165662,22930
Emmen,Q14641,107620
Enkhuizen,Q9918,18468
Enschede,Q10002,158331
Epe,Q238396,32271
Ermelo,Q753920,26506
Etten-Leur,Q9833,42834
Ferwerderadiel,Q750772,8698
Franekeradeel,Q683658,20272
De Fryske Marren,Q2114866,51277
Geertruidenberg,Q9834,21628
Geldermalsen,Q171536,26342
Geldrop-Mierlo,Q9835,38886
Gemert-Bakel,Q9836,29653
Gennep,Q9800,17092
Giessenlanden,Q1124998,14546
Gilze en Rijen,Q9837,26156
Goeree-Overflakkee,Q933459,48317
Goes,Q10072,37213
Goirle,Q9838,23114
Gooise Meren,Q18335889,56687
Gorinchem,Q244327,35255
Gouda,Q84125,71184
Grave,Q9839,12639
s-Gravenhage (gemeente),Q36600,519411
Groningen (gemeente),Q892526,200997
Grootegast,Q605986,12154
Gulpen-Wittem,Q9767,14526
Haaksbergen,Q10003,24329
Haaren,Q9840,13572
Haarlem,Q9920,158099
Haarlemmerliede en Spaarnwoude,Q9921,5579
Haarlemmermeer,Q9924,144538
Halderberge,Q9841,29532
Hardenberg,Q3916626,59697
Harderwijk,Q58931,45973
Hardinxveld-Giessendam,Q953012,17778
Haren,Q691754,19089
Harlingen,Q2536628,15807
Hattem,Q58797,11894
Heemskerk,Q9926,39303
Heemstede,Q9928,26786
Heerde,Q615491,18556
Heerenveen,Q574558,50273
Heerhugowaard,Q9930,53946
Heerlen,Q9799,87452
Heeze-Leende,Q9843,15653
Heiloo,Q9932,22678
Den Helder,Q9911,56305
Hellendoorn,Q10005,35650
Hellevoetsluis,Q826130,38610
Helmond,Q9844,90109
Hendrik-Ido-Ambacht,Q538725,29413
Hengelo (O.),Q10006,81074
s-Hertogenbosch,Q9807,151488
Heumen,Q932155,16363
Heusden,Q9845,43274
Hillegom,Q932116,21091
Hilvarenbeek,Q9846,15163
Hilversum,Q9934,87817
Hof van Twente,Q9996,34888
Hollands Kroon,Q9936,47523
Hoogeveen,Q208012,55224
Hoogezand-Sappemeer,Q73069,34179
Hoorn,Q9938,72200
Horst aan de Maas,Q9797,41671
Houten,Q10044,48772
Huizen,Q9939,41389
Hulst,Q10073,27376
IJsselstein,Q10045,34102
Kaag en Braassem,Q1348471,26104
Kampen,Q23814173,51939
Kapelle,Q10074,12640
Katwijk,Q208764,64196
Kerkrade,Q9796,46031
Koggenland,Q9940,22474
Kollumerland en Nieuwkruisland,Q571198,12807
Korendijk,Q952194,10828
Krimpen aan den IJssel,Q739449,29059
Krimpenerwaard,Q15991891,54701
Laarbeek,Q9848,21961
Landerd,Q9849,15314
Landgraaf,Q9795,37471
Landsmeer,Q9942,10980
Langedijk,Q9944,27449
Lansingerland,Q1144739,59037
Laren (NH.),Q9945,10962
Leek,Q835096,19530
Leerdam,Q388575,20708
Leeuwarden,Q2311189,107902
Leeuwarderadeel,Q778989,10177
Leiden,Q43631,122565
Leiderdorp,Q1000817,27010
Leidschendam-Voorburg,Q112675,74227
Lelystad,Q166065,76810
Leudal,Q9793,36137
Leusden,Q10046,29313
Lingewaal,Q952948,11105
Lingewaard,Q952939,45952
Lisse,Q332730,22603
Littenseradiel,Q851310,10833
Lochem,Q932058,33326
Loon op Zand,Q9850,22928
Lopik,Q10047,14163
Loppersum,Q849574,10038
Losser,Q10015,22450
Maasdriel,Q904544,24088
Maasgouw,Q9792,23757
Maassluis,Q497130,32287
Maastricht,Q1309,122538
De Marne,Q840663,10096
Marum,Q841525,10305
Medemblik,Q9947,43711
Meerssen,Q9772,19046
Menameradiel,Q475366,13540
Menterwolde,Q932066,12236
Meppel,Q60425,32791
Middelburg (Z.),Q10076,47889
Midden-Delfland,Q952206,18870
Midden-Drenthe,Q835125,33449
Mill en Sint Hubert,Q9853,10791
Moerdijk,Q9854,36758
Molenwaard,Q1943433,29059
Montferland,Q952963,35174
Montfoort,Q10048,13796
Mook en Middelaar,Q9791,7757
Neder-Betuwe,Q952997,23051
Nederweert,Q9789,16798
Neerijnen,Q932089,12126
Nieuwegein,Q10050,61733
Nieuwkoop,Q948866,27437
Nijkerk,Q73226,41200
Nijmegen,Q47887,172063
Nissewaard,Q14853527,85403
Noord-Beveland,Q10077,7416
Noordenveld,Q835083,31043
Noordoostpolder,Q69262,46432
Noordwijk,Q455464,25762
Noordwijkerhout,Q848988,16140
"Nuenen, Gerwen en Nederwetten",Q9855,22751
Nunspeet,Q931997,26835
Nuth,Q9787,15423
Oegstgeest,Q94747,23223
Oirschot,Q9856,18196
Oisterwijk,Q9857,25857
Oldambt,Q1347872,38225
Oldebroek,Q932042,23105
Oldenzaal,Q10016,32106
Olst-Wijhe,Q10017,17884
Ommen,Q10018,17681
Onderbanken,Q9786,7861
Oost Gelre,Q1147580,29538
Oosterhout,Q9858,54012
Ooststellingwerf,Q259205,25573
Oostzaan,Q9951,9508
Opmeer,Q9952,11338
Opsterland,Q840632,29836
Oss,Q9859,90019
Oud-Beijerland,Q795623,23860
Oude IJsselstreek,Q932031,39653
Ouder-Amstel,Q9953,13409
Oudewater,Q10051,10055
Overbetuwe,Q600871,47003
Papendrecht,Q934511,32268
Peel en Maas,Q9785,43320
Pekela,Q932077,12594
Pijnacker-Nootdorp,Q281768,51880
Purmerend,Q9954,79936
Putten,Q939948,24489
Raalte,Q10019,36697
Reimerswaal,Q10078,22260
Renkum,Q691725,31247
Renswoude,Q10039,5051
Reusel-De Mierden,Q9860,12809
Rheden,Q843899,43816
Rhenen,Q10040,19402
Ridderkerk,Q222220,45100
Rijnwaarden,Q518739,10869
Rijssen-Holten,Q10020,37873
Rijswijk (ZH.),Q506745,49322
Roerdalen,Q9784,20691
Roermond,Q8167972,57085
De Ronde Venen,Q10036,42574
Roosendaal,Q9861,76968
Rotterdam,Q2680952,629078
Rozendaal,Q372592,1497
Rucphen,Q9862,22270
Schagen,Q9955,46163
Scherpenzeel,Q939964,9531
Schiedam,Q204709,77051
Schiermonnikoog,Q208011,918
Schijndel,Q9864,23618
Schinnen,Q9782,12966
Schouwen-Duiveland,Q10079,33737
Simpelveld,Q9769,10743
Sint Anthonis,Q9865,11591
Sint-Michielsgestel,Q9866,28413
Sint-Oedenrode,Q9867,17893
Sittard-Geleen,Q9781,93555
Sliedrecht,Q750760,24959
Slochteren,Q850211,15700
Sluis,Q10080,23651
Smallingerland,Q507065,55443
Soest,Q10041,45499
Someren,Q9868,18913
Son en Breugel,Q9869,16427
Stadskanaal,Q73074,32629
Staphorst,Q10021,16548
Stede Broec,Q9962,21487
Steenbergen,Q9870,23476
Steenwijkerland,Q10022,43329
Stein (L.),Q9780,25056
Stichtse Vecht,Q10042,64064
Strijen,Q858607,8763
Súdwest-Fryslân,Q1473276,84040
Terneuzen,Q10081,54658
Terschelling,Q204412,4874
Texel,Q9966,13582
Teylingen,Q1368003,36013
Tholen,Q10082,25418
Tiel,Q73221,41502
Tilburg,Q26430,212946
Tubbergen,Q10023,21115
Twenterand,Q10024,33848
Tynaarlo,Q840457,32796
Tytsjerksteradiel,Q840636,32059
Uden,Q9872,41248
Uitgeest,Q9967,13359
Uithoorn,Q9969,29168
Urk,Q273746,19989
Utrecht (gemeente),Q803,338949
Utrechtse Heuvelrug,Q10043,48522
Vaals,Q9768,9623
Valkenburg aan de Geul,Q9771,16512
Valkenswaard,Q9873,30260
Veendam,Q73065,27475
Veenendaal,Q1840,63812
Veere,Q10083,21961
Veghel,Q9874,38077
Veldhoven,Q9875,44322
Velsen,Q9970,67470
Venlo,Q9777,100373
Venray,Q9775,43311
Vianen,Q10052,19523
Vlaardingen,Q210007,71888
Vlagtwedde,Q840460,16459
Vlieland,Q207851,1082
Vlissingen,Q10084,44438
Voerendaal,Q9770,12480
Voorschoten,Q848324,25214
Voorst,Q384772,23983
Vught,Q9876,25980
Waalre,Q9877,17027
Waalwijk,Q745038,47022
Waddinxveen,Q826048,26066
Wageningen,Q1305,37865
Wassenaar,Q505601,25859
Waterland,Q9971,17302
Weert,Q9774,49097
Weesp,Q9974,18571
Werkendam,Q9880,26519
West Maas en Waal,Q658081,18708
Westerveld,Q747920,18946
Westervoort,Q524808,15002
Westland,Q26556,105007
Weststellingwerf,Q753913,25518
Westvoorne,Q935657,14205
Wierden,Q10025,23954
Wijchen,Q72981,40804
Wijdemeren,Q9975,23267
Wijk bij Duurstede,Q10053,23374
Winsum,Q1025079,13632
Winterswijk,Q72974,28937
Woensdrecht,Q9881,21680
Woerden,Q5128,51156
De Wolden,Q835108,23729
Wormerland,Q9976,15675
Woudenberg,Q10055,12551
Woudrichem,Q9882,14521
Zaanstad,Q9978,152377
Zaltbommel,Q1532373,27549
Zandvoort,Q9980,16796
Zederik,Q184288,13730
Zeewolde,Q184454,22093
Zeist,Q10056,62319
Zevenaar,Q197050,32271
Zoetermeer,Q26432,124151
Zoeterwoude,Q218259,8122
Zuidhorn,Q210234,18793
Zuidplas,Q228673,40962
Zundert,Q9883,21483
Zutphen,Q15858232,47017
Zwartewaterland,Q10026,22283
Zwijndrecht,Q244692,44454
Zwolle,Q793,124914
